AcademicYear,GPA,Interest_AcademicWorkshop,Interest_CareerDev,Interest_SocialActivities,Interest_Sports,Interest_CulturalPrograms,Interest_TechMeetups,ParticipatedBefore,EventTypesAttended,EventAttendanceFrequency,Hypo_TechWorkshop,Hypo_ResumeWorkshop,Hypo_CulturalNight,Hypo_SportsTournament,Hypo_SocialCampaign,Personality,Motivation,FreeDays,PreferredTime,InterestTopics,SkillsToDevelop,Feedback,Recommended Event
21/22,2.75,2.0,2.0,2.0,3.0,4.0,5.0,No,Sports,Sometimes,1.0,4.0,3.0,2.0,3.0,"Outgoing, Team-oriented, Creative","Meeting New People, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Public Speaking, Communication, Creativity, Soft Skills",Clear explanations.,Tech Workshop
21/22,3.87,2.0,3.0,5.0,3.0,3.0,4.0,No,"Tech Meetups, Sports",Sometimes,4.0,3.0,5.0,5.0,4.0,"Outgoing, Team-oriented, Curious and eager to learn","Fun and Entertainment, Relaxation/Stress Relief, Meeting New People",Any day,Morning (8am-12pm),"Artificial Intelligence / Data Science, Business / Entrepreneurship, Designing / Creativity","Leadership, Communication, Creativity, Public Speaking",Practical and useful.,Social Engaging
22/23,2.12,5.0,2.0,2.0,1.0,1.0,4.0,No,"Tech Meetups, Academic Workshops, Cultural Events",Rarely,5.0,2.0,4.0,4.0,4.0,"Creative, Curious and eager to learn, Team-oriented","Learning New Skills, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Soft Skills, AI, Public Speaking",Detailed content.,Tech Workshop
22/23,2.75,1.0,4.0,2.0,3.0,3.0,4.0,No,Tech Meetups,Rarely,5.0,5.0,2.0,3.0,5.0,"Outgoing, Logical thinker","Career Development, Fun and Entertainment, Relaxation/Stress Relief",Any day,Morning (8am-12pm),"Artificial Intelligence / Data Science, Public Speaking / Soft Skill","Leadership, Creativity, Communication",Could add mock tests.,Tech Workshop
21/22,2.93,4.0,3.0,2.0,1.0,4.0,3.0,No,Sports,Often,3.0,3.0,4.0,1.0,2.0,Curious and eager to learn,"Career Development, Fun and Entertainment, Meeting New People",Any day,Night (After 8pm),"Designing / Creativity, Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","Public Speaking, Communication",Too general.,Social Engaging
21/22,3.69,4.0,2.0,2.0,4.0,5.0,5.0,No,"Career Development, Tech Meetups",Always,4.0,4.0,2.0,1.0,5.0,Creative,"Learning New Skills, Fun and Entertainment",Weekdays,Evening (4pm-8pm),"Environmental & Social Impact, Public Speaking / Soft Skill","Communication, Public Speaking, AI, Leadership",Well-structured.,Social Engaging
22/23,2.73,2.0,5.0,2.0,1.0,5.0,3.0,Yes,"Career Development, None",Always,5.0,1.0,3.0,3.0,3.0,Creative,"Career Development, Relaxation/Stress Relief, Fun and Entertainment",Weekends,Afternoon (12pm-4pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Communication, Creativity",Lacked detail.,Career Development
21/22,3.13,1.0,1.0,2.0,5.0,1.0,3.0,Yes,"Cultural Events, Academic Workshops",Often,3.0,1.0,3.0,2.0,2.0,"Outgoing, Curious and eager to learn, Logical thinker","Relaxation/Stress Relief, Meeting New People",Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Communication, Leadership",Include gaming events.,Social Engaging
21/22,2.14,3.0,2.0,1.0,1.0,1.0,2.0,Yes,Social Service Activities,Sometimes,2.0,2.0,4.0,1.0,5.0,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",No suggestion,Social Engaging
20/21,3.14,4.0,3.0,2.0,1.0,4.0,3.0,No,Sports,Often,3.0,3.0,4.0,1.0,2.0,Curious and eager to learn,"Career Development, Fun and Entertainment, Meeting New People",Any day,Night (After 8pm),"Designing / Creativity, Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","Public Speaking, Communication",Include volunteering slots.,Social Engaging
